;estado;cidade;populacao;pib;pib_percapita
4752;ALAGOAS;Mar Vermelho;4131;15055.91699219;3644.62011719
4753;MINAS GERAIS;São João Nepomuceno;26160;177288.109375;6777.06982422
4754;MINAS GERAIS;Conceição do Rio Verde;13244;113550.8984375;8573.75976562
4755;MINAS GERAIS;Paiva;1687;11832.640625;7014.00976562
4756;SÃO PAULO;Nova Castilho;1122;26578.25976562;23688.2890625
4757;MINAS GERAIS;Bom Despacho;44265;499249.78125;11278.66015625
4758;RIO GRANDE DO SUL;Candelária;30423;409361.71875;13455.66992188
4759;BAHIA;Santa Teresinha;10546;33876.703125;3212.2800293
4760;SÃO PAULO;Ribeirão Branco;18607;203091.0;10914.75976562
4761;SANTA CATARINA;Rio Negrinho;44633;531999.8125;11919.4296875
4762;CEARÁ;Orós;21784;91515.421875;4201.04003906
4763;PERNAMBUCO;Macaparana;24031;96728.0078125;4025.12988281
4764;PARÁ;São Domingos do Araguaia;22063;92794.3046875;4205.87988281
4765;ALAGOAS;Jaramataia;6140;23547.14648438;3835.04003906
4766;PARÁ;Pacajá;41953;158200.59375;3770.89990234
4767;SÃO PAULO;Indaiatuba;183803;5156607.5;28055.08007812
4768;SANTA CATARINA;Dona Emma;3583;46140.10546875;12877.50976562
4769;SANTA CATARINA;Atalanta;3402;50381.9765625;14809.51953125
4770;PARANÁ;Mamborê;14332;263614.625;18393.4296875
4771;RIO GRANDE DO SUL;São Martinho da Serra;3579;66114.0390625;18472.76953125
4772;PERNAMBUCO;Custódia;33874;161101.578125;4755.91015625
4773;SÃO PAULO;Cabrália Paulista;4369;113450.7734375;25967.22070312
4774;SÃO PAULO;Itaóca;3143;21155.91796875;6731.12011719
4775;PARANÁ;Almirante Tamandaré;97523;577882.25;5925.60009766
4776;ESPIRITO SANTO;Nova Venécia;46354;465862.75;10050.11035156
4777;RIO GRANDE DO NORTE;Cerro Corá;11235;50042.41796875;4454.14990234
4778;MINAS GERAIS;Cruzília;15373;104239.1171875;6780.66015625
4779;GOIÁS;Cavalcante;10398;186038.578125;17891.76953125
4780;BAHIA;São José da Vitória;6270;20077.56640625;3202.15991211
4781;GOIÁS;Campos Belos;19166;104675.78125;5461.54003906
4782;GOIÁS;Nova Glória;8632;60245.73828125;6979.35009766
4783;TOCANTINS;Natividade;9396;63293.33984375;6736.20019531
4784;MINAS GERAIS;Arinos;18153;113755.6796875;6266.49023438
4785;MARANHÃO;Parnarama;36300;120248.4140625;3312.62988281
4786;ALAGOAS;Feira Grande;21824;67006.5546875;3070.32006836
4787;PIAUÍ;Elesbão Veloso;14490;54116.52734375;3734.75
4788;MINAS GERAIS;Tumiritinga;6198;34187.10546875;5515.83007812
4789;MINAS GERAIS;Francisco Dumont;4987;28876.14648438;5790.27978516
4790;MINAS GERAIS;Vieiras;3899;29292.23242188;7512.75976562
4791;PARANÁ;Figueira;8485;60627.41015625;7145.25
4792;MINAS GERAIS;Antônio Prado de Minas;2070;14403.46777344;6958.20019531
4793;MARANHÃO;São Vicente Ferrer;20463;39492.9609375;1929.9699707
4794;SANTA CATARINA;Jupiá;2185;28970.68554688;13258.88964844
4795;PARÁ;Cametá;117099;328735.40625;2807.33007812
4796;MINAS GERAIS;Engenheiro Caldas;10908;56074.13671875;5140.64013672
4797;PERNAMBUCO;Itambé;36126;175518.515625;4858.50976562
4798;SÃO PAULO;Guaiçara;11206;130954.9921875;11686.15039062
4799;PARAÍBA;Santa Cruz;6677;25700.4375;3849.10009766
4800;MATO GROSSO DO SUL;Rochedo;4480;80849.7578125;18046.8203125
4801;PARAÍBA;Remígio;17423;69606.3515625;3995.08007812
4802;GOIÁS;Ceres;19069;193604.6875;10152.84960938
4803;PARÁ;Maracanã;29417;94502.7109375;3212.52001953
4804;CEARÁ;Maranguape;110523;643602.6875;5823.25
4805;MINAS GERAIS;Belo Vale;7470;47929.59765625;6416.27978516
4806;CEARÁ;Barroquinha;15558;53454.80859375;3435.84008789
